Timestamp,Temperature_C,Humidity_Percent
Timestamp,Temperature_C,Humidity_Percent
2026-06-24 17:15:00,24.00,40.00
2026-06-24 17:15:05,24.00,40.00
2026-06-24 17:15:10,24.00,40.00
2026-06-24 17:15:15,24.00,40.00
2026-06-24 17:15:20,60.00,17.50
2026-06-24 17:15:25,-17.30,62.00
2026-06-24 17:15:30,3.80,62.00
2026-06-24 17:15:35,19.30,69.50
2026-06-24 17:15:40,80.00,100.002026-06-24 18:33:56,18.00,73.00
2026-06-24 18:33:58,18.00,73.00
2026-06-24 18:34:00,18.00,73.00
2026-06-24 18:34:02,18.00,73.00
2026-06-24 18:34:04,18.00,73.00
2026-06-24 18:34:06,18.00,73.00
2026-06-24 18:34:08,18.00,73.00
2026-06-24 18:34:10,18.00,73.00
2026-06-24 18:34:12,18.00,73.00
2026-06-24 18:34:14,18.00,73.00
2026-06-24 18:34:16,18.00,73.00
2026-06-24 18:34:18,18.00,73.00
2026-06-24 18:34:20,18.00,73.00
2026-06-24 18:34:22,18.00,73.00
2026-06-24 18:34:24,18.00,73.00
2026-06-24 18:34:26,18.00,73.00
2026-06-24 18:34:28,18.00,73.00
2026-06-24 18:34:30,18.00,73.00
2026-06-24 18:34:32,18.00,73.00
2026-06-24 18:34:34,18.00,73.00
2026-06-24 18:34:36,18.00,73.00
2026-06-24 18:34:38,18.00,73.00
2026-06-24 18:34:40,18.00,73.00
2026-06-24 18:34:42,18.00,73.00
2026-06-24 18:34:44,18.00,73.00
2026-06-24 18:34:46,18.00,73.00
2026-06-24 18:34:48,18.00,73.00
2026-06-24 18:34:50,18.00,73.00
2026-06-24 18:34:52,18.00,73.00
2026-06-24 18:34:54,18.00,73.00
2026-06-24 18:34:56,18.00,73.00
2026-06-24 18:34:58,18.00,73.00
2026-06-24 18:35:00,18.00,73.00
2026-06-24 18:35:02,18.00,73.00
2026-06-24 18:35:04,18.00,73.00
2026-06-24 18:35:06,18.00,73.00
2026-06-24 18:35:08,18.00,73.00
2026-06-24 18:35:10,18.00,73.00
2026-06-24 18:35:12,18.00,73.00
2026-06-24 18:35:14,18.00,73.00
2026-06-24 18:35:16,18.00,73.00
2026-06-24 18:35:18,18.00,73.00
2026-06-24 18:35:20,18.00,73.00
2026-06-24 18:35:22,18.00,73.00
2026-06-24 18:35:24,18.00,73.00
2026-06-24 18:35:26,18.00,73.00
2026-06-24 18:35:28,18.00,73.00
2026-06-24 18:35:30,18.00,73.00
2026-06-24 18:35:32,18.00,73.00
2026-06-24 18:35:34,18.00,73.00
2026-06-24 18:35:36,18.00,73.00
2026-06-24 18:35:38,18.00,73.00
2026-06-24 18:35:40,18.00,73.00
2026-06-24 18:35:42,18.00,73.00
2026-06-24 18:35:44,18.00,73.00
2026-06-24 18:35:46,18.00,73.00
2026-06-24 18:35:48,18.00,73.00
2026-06-24 18:35:50,18.00,73.00
2026-06-24 18:35:52,18.00,73.00
2026-06-24 18:35:54,18.00,73.00
2026-06-24 18:35:56,18.00,73.00
2026-06-24 18:35:58,18.00,73.00
2026-06-24 18:36:00,18.00,73.00
2026-06-24 18:36:02,18.00,73.00
2026-06-24 18:36:04,18.00,73.00
2026-06-24 18:36:06,18.00,73.00
2026-06-24 18:36:08,18.00,73.00
2026-06-24 18:36:10,18.00,73.00
2026-06-24 18:36:12,18.00,73.00
2026-06-24 18:36:14,18.00,73.00
2026-06-24 18:36:16,18.00,73.00
2026-06-24 18:36:18,18.00,73.00
2026-06-24 18:36:20,18.00,73.00
2026-06-24 18:36:22,18.00,73.00
2026-06-24 18:36:24,18.00,73.00
2026-06-24 18:36:26,18.00,73.00
2026-06-24 18:36:28,18.00,73.00
2026-06-24 18:36:30,18.00,73.00
2026-06-24 18:36:32,18.00,73.00
2026-06-24 18:36:34,18.00,73.00
2026-06-24 18:36:36,18.00,73.00
2026-06-24 18:36:38,18.00,73.00
2026-06-24 18:36:40,18.00,73.00
2026-06-24 18:36:42,18.00,73.00
2026-06-24 18:36:44,18.00,73.00
2026-06-24 18:36:46,18.00,73.00
2026-06-24 18:36:48,18.00,73.00
2026-06-24 18:36:50,18.00,73.00
2026-06-24 18:36:52,18.00,73.00
2026-06-24 18:36:54,18.00,73.00
2026-06-24 18:36:56,18.00,73.00
2026-06-24 18:36:58,18.00,73.00
2026-06-24 18:37:00,18.00,73.00
2026-06-24 18:37:02,18.00,73.00
